crate_name,version
Boa,0.13.1
ConExpression,0.1.0
GSL,6.0.0
HPGO,0.9.2
IMAPServer-shared,0.1.0
MBrane,1.0.10
MacTypes-sys,2.1.0
NeteaseCloudMusicRustApi,0.1.1
RustMusic,0.1.0
a2,0.7.0
ab-av1,0.7.7
abao,0.2.0
abi_stable,0.11.1
abnf,0.13.0
abow,0.4.2
abscissa_core,0.7.0
abstract-ns,0.4.3
acap,0.3.0
accel,0.3.1
accelerate-provider,0.2.1
accelerate-src,0.3.2
accesskit_windows,0.14.0
accountable-refcell,0.2.1
accurate,0.3.1
aces,0.0.13
acick-dropbox,0.2.0
acid-store,0.13.1
acid_io,0.1.0
aclint,0.0.0
acme-lib,0.8.2
acme-micro,0.12.0
activitypub_federation,0.4.0
actix-http,3.3.1
actix-net,0.2.6
actix-tls,3.0.3
actori-http,1.0.1
actori-web,2.0.0
actoriwc,1.0.1
adb_client,0.5.0
adder-codec-rs,0.3.1
addr2line,0.20.0
adenosine,0.3.0
adhoc_audio,0.1.4
adler,1.0.2
adler32,1.2.0
adqselect,0.1.3
advisory-lock,0.3.0
advmac,1.0.3
aes-prng,0.2.0
aes-stream,0.2.1
aesm-client,0.5.4
afl,0.12.17
again,0.1.2
age,0.9.1
age-core,0.9.0
age-plugin-yubikey,0.4.0
ahash,0.8.3
aichat,0.8.0
akaze,0.7.0
akd_core,0.8.9
alacritty,0.12.0
alacritty_terminal,0.18.0
alass-core,2.0.0
alcoholic_jwt,4091.0.0
alcro,0.5.4
aleph-bft,0.20.5
alevin-fry,0.8.1
algonaut,0.4.2
algonaut_abi,0.4.2
algonaut_client,0.4.2
algonaut_core,0.4.2
algonaut_transaction,0.4.2
aliri,0.6.1
aliri_oauth2,0.9.0
allan,0.2.4
allo-isolate,0.1.14
alloc-no-stdlib,2.0.4
alloc-stdlib,0.2.2
allsorts,0.14.0
allsorts_no_std,0.5.2
almost,0.2.0
alpm-sys,2.1.2
alsa,0.7.0
alsatimer-sys,0.4.0
aluvm,0.10.1
amadeus-streaming,0.4.3
amber,0.5.9
ambisonic,0.4.1
amcl_wrapper,0.4.0
amethyst,0.15.3
amethyst_error,0.15.3
amethyst_gltf,0.15.3
amethyst_input,0.15.3
amethyst_renderer,0.10.4
amethyst_rendy,0.15.3
amethyst_tiles,0.15.3
amethyst_ui,0.15.3
amethyst_utils,0.15.3
amp,0.6.2
amplify,4.0.0
amplify_num,0.5.0
amqp,0.1.3
anarchist-readable-name-generator-lib,0.1.1
android-activity,0.4.1
android-logd-logger,0.4.1
android-ndk-sys,0.2.0
android_logger,0.13.1
anes,0.1.6
anitomy,0.1.2
anitomy-sys,0.1.2
anni-repo,0.3.2
anyhow,1.0.71
aom-sys,0.3.2
aotuv_lancer_vorbis_sys,0.1.1
apache-avro,0.14.0
apint,0.2.0
apng-encoder,0.3.0
apollo-client,0.7.3
apple-bindgen,0.2.0
apple-codesign,0.22.0
apple-xar,0.13.0
apriltag,0.4.0
apriltag-sys,0.3.0
apt-pkg-native,0.3.2
aquatic_common,0.8.0
arboard,3.2.0
arcdps-imgui,0.8.0
arcdps-imgui-sys,0.8.0
arcstr,1.1.5
argc,1.0.0
argmax,0.3.1
argmin,0.8.1
argmin-math,0.3.0
argminmax,0.6.1
argon2rs,0.2.5
argonautica,0.2.0
argv,0.1.8
arithmetic,2.1.2
ark-api,0.17.0-pre.20
ark-api-ffi,0.17.0-pre.20
ark-bulletproofs,4.0.0
ark-std,0.4.0
arrayfire,3.8.0
arrow,38.0.0
arrow-array,38.0.0
arrow-buffer,38.0.0
arrow-ord,38.0.0
arrow-row,38.0.0
arrow-select,38.0.0
arrow2,0.17.0
arrow2_convert,0.4.2
arrsac,0.10.0
arti,1.1.4
arti-client,0.9.0
asap,0.11.0
asefile,0.3.5
ash,0.37.2+1.3.238
ashmem,0.1.2
ashpd,0.4.0
asio-sys,0.2.1
askar-crypto,0.2.5
asn-db,0.1.4
asn1,0.15.1
asn1rs-model,0.2.2
assemble-core,0.2.0
assemblylift-iomod-dynamodb-guest,0.1.7
assert_cmd,2.0.11
assert_infrequent,0.1.0
